epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1172.53,1.5837,1.31326,1.30739,0.59206,0.52095,0.55436,0.26841,1.8217,1.6025,1.50446,0.000848969,0.000848969,0.000848969
43,1199.76,1.58944,1.30967,1.30581,0.57534,0.52242,0.55913,0.26824,1.83099,1.55748,1.49471,0.000834822,0.000834822,0.000834822
44,1227.05,1.57434,1.27975,1.30121,0.58464,0.55748,0.56242,0.27191,1.81188,1.4975,1.48601,0.000820675,0.000820675,0.000820675
45,1254.2,1.58241,1.28491,1.29865,0.56756,0.55852,0.56666,0.2733,1.85441,1.51117,1.51571,0.000806528,0.000806528,0.000806528
46,1281.26,1.55641,1.25257,1.28552,0.62863,0.56604,0.59077,0.27958,1.80245,1.52247,1.48582,0.00079238,0.00079238,0.00079238
47,1308.5,1.55533,1.25866,1.2846,0.5984,0.53803,0.5601,0.27548,1.84,1.54379,1.5081,0.000778233,0.000778233,0.000778233
48,1335.11,1.55284,1.23944,1.28219,0.58545,0.55084,0.57396,0.28242,1.81616,1.50456,1.51324,0.000764086,0.000764086,0.000764086
49,1362.1,1.53637,1.22423,1.26824,0.62284,0.50732,0.56021,0.27055,1.85598,1.50123,1.50749,0.000749939,0.000749939,0.000749939
50,1389.09,1.54566,1.24148,1.27585,0.56864,0.53429,0.54342,0.2654,1.83051,1.55357,1.50633,0.000735792,0.000735792,0.000735792
51,1415.88,1.51098,1.18605,1.26973,0.58926,0.57406,0.57597,0.28589,1.8129,1.48186,1.49417,0.000721645,0.000721645,0.000721645
52,1443.02,1.51476,1.20057,1.26416,0.57567,0.54707,0.5722,0.27446,1.84453,1.50023,1.53248,0.000707498,0.000707498,0.000707498
53,1469.89,1.50314,1.17888,1.25125,0.60352,0.54709,0.56821,0.27928,1.84594,1.51357,1.52583,0.000693351,0.000693351,0.000693351
54,1498.06,1.50784,1.18196,1.25621,0.5974,0.57803,0.58852,0.28354,1.79642,1.45554,1.48429,0.000679204,0.000679204,0.000679204
55,1525.29,1.49266,1.15907,1.24376,0.59264,0.56503,0.58055,0.27909,1.83554,1.482,1.50354,0.000665057,0.000665057,0.000665057
56,1552.35,1.48562,1.15333,1.25091,0.6197,0.54968,0.57714,0.2776,1.84234,1.47854,1.51722,0.000650909,0.000650909,0.000650909
57,1579.33,1.48347,1.14994,1.2446,0.61473,0.54755,0.59052,0.28695,1.83793,1.49018,1.52941,0.000636762,0.000636762,0.000636762
58,1606.47,1.45619,1.11762,1.22919,0.57512,0.57816,0.58976,0.28278,1.84348,1.49384,1.51241,0.000622615,0.000622615,0.000622615
59,1633.5,1.4551,1.1223,1.23372,0.59115,0.57513,0.58202,0.28531,1.82326,1.46442,1.50579,0.000608468,0.000608468,0.000608468
60,1660.5,1.43146,1.10397,1.22078,0.58182,0.57446,0.5851,0.28532,1.84936,1.46911,1.51835,0.000594321,0.000594321,0.000594321
61,1687.43,1.44758,1.09725,1.22482,0.59916,0.57215,0.59769,0.29238,1.84074,1.46398,1.51044,0.000580174,0.000580174,0.000580174
62,1715.52,1.43386,1.09379,1.22606,0.61024,0.58666,0.6068,0.29193,1.82743,1.43592,1.51262,0.000566027,0.000566027,0.000566027
63,1742.94,1.42316,1.07852,1.20993,0.59569,0.55288,0.5775,0.2823,1.83533,1.47673,1.51677,0.00055188,0.00055188,0.00055188
64,1770.14,1.4322,1.07429,1.22123,0.59509,0.56661,0.58033,0.28142,1.87111,1.46455,1.54054,0.000537733,0.000537733,0.000537733
65,1797.6,1.42935,1.06563,1.21319,0.63313,0.55793,0.59348,0.28969,1.86274,1.45113,1.53079,0.000523586,0.000523586,0.000523586
66,1825.09,1.403,1.04907,1.19577,0.64511,0.5617,0.59929,0.28574,1.85923,1.44468,1.55007,0.000509438,0.000509438,0.000509438
67,1852.61,1.41866,1.04952,1.20414,0.6318,0.52258,0.58528,0.27438,1.88544,1.49017,1.51853,0.000495291,0.000495291,0.000495291
68,1880.12,1.40628,1.04504,1.19981,0.59702,0.57277,0.58418,0.28332,1.86635,1.46587,1.53852,0.000481144,0.000481144,0.000481144
69,1907.6,1.38877,1.03231,1.1997,0.62501,0.55751,0.60349,0.28731,1.86799,1.41886,1.53713,0.000466997,0.000466997,0.000466997
70,1935.5,1.40776,1.03123,1.19585,0.67496,0.54599,0.60889,0.29304,1.82423,1.42872,1.51478,0.00045285,0.00045285,0.00045285
71,1963.03,1.39283,1.02611,1.19004,0.63291,0.5648,0.60078,0.28582,1.85105,1.43911,1.53602,0.000438703,0.000438703,0.000438703
72,1990.31,1.36871,1.003,1.17202,0.63389,0.56658,0.59814,0.28849,1.84667,1.41621,1.54296,0.000424556,0.000424556,0.000424556
73,2017.91,1.37598,1.00923,1.18379,0.64265,0.55843,0.6026,0.28798,1.85245,1.4554,1.53363,0.000410409,0.000410409,0.000410409
74,2045.19,1.36973,0.99767,1.17447,0.61794,0.56413,0.58914,0.28363,1.86255,1.47117,1.54634,0.000396262,0.000396262,0.000396262
75,2072.87,1.34752,0.98382,1.1648,0.61729,0.58074,0.60107,0.29092,1.85216,1.44569,1.5356,0.000382115,0.000382115,0.000382115
76,2100.21,1.33832,0.96864,1.16367,0.6255,0.58019,0.60197,0.28982,1.85617,1.42259,1.53536,0.000367967,0.000367967,0.000367967
77,2127.41,1.33924,0.96751,1.16145,0.62831,0.56805,0.6065,0.29374,1.85782,1.44838,1.53994,0.00035382,0.00035382,0.00035382
78,2154.98,1.33088,0.95096,1.16267,0.65875,0.58435,0.61791,0.29937,1.83592,1.39959,1.51846,0.000339673,0.000339673,0.000339673
79,2182.4,1.32763,0.94605,1.155,0.64086,0.56845,0.60208,0.29154,1.85012,1.42313,1.53422,0.000325526,0.000325526,0.000325526
80,2209.92,1.33549,0.96114,1.15687,0.65063,0.55532,0.60114,0.29142,1.84687,1.41816,1.53126,0.000311379,0.000311379,0.000311379
81,2237.55,1.32242,0.95508,1.14904,0.66181,0.54589,0.60091,0.2896,1.86404,1.44982,1.55236,0.000297232,0.000297232,0.000297232
82,2264.86,1.29778,0.92104,1.14689,0.65619,0.56752,0.60429,0.28999,1.86933,1.44285,1.54975,0.000283085,0.000283085,0.000283085
83,2292.08,1.30312,0.92407,1.14434,0.60588,0.59364,0.59136,0.28232,1.86634,1.45147,1.55626,0.000268938,0.000268938,0.000268938
84,2319.41,1.29139,0.90899,1.14323,0.67284,0.55783,0.60503,0.29182,1.87449,1.4354,1.53982,0.000254791,0.000254791,0.000254791
85,2347.62,1.29151,0.90807,1.13232,0.63358,0.58201,0.60691,0.29337,1.86833,1.44662,1.56436,0.000240644,0.000240644,0.000240644
86,2375.37,1.27441,0.89879,1.13557,0.62117,0.58893,0.60638,0.29189,1.86928,1.43514,1.55163,0.000226497,0.000226497,0.000226497
87,2402.97,1.29336,0.89941,1.14015,0.6438,0.57303,0.60575,0.2948,1.86447,1.43582,1.54664,0.000212349,0.000212349,0.000212349
88,2430.47,1.27779,0.89584,1.13094,0.6525,0.58453,0.61285,0.29601,1.87607,1.40956,1.55528,0.000198202,0.000198202,0.000198202
89,2457.5,1.28448,0.89327,1.128,0.66252,0.56354,0.61066,0.28824,1.87286,1.42941,1.5584,0.000184055,0.000184055,0.000184055
90,2485.02,1.26325,0.87435,1.12382,0.65563,0.57765,0.61002,0.29404,1.85645,1.42279,1.54012,0.000169908,0.000169908,0.000169908
91,2594.48,1.3055,0.92585,1.15764,0.60893,0.5648,0.5764,0.27615,1.88754,1.4705,1.5796,0.000155761,0.000155761,0.000155761
92,2621.74,1.21863,0.81429,1.11332,0.64488,0.55349,0.59864,0.28678,1.8799,1.44748,1.56505,0.000141614,0.000141614,0.000141614
93,2649.08,1.1847,0.784,1.10005,0.63929,0.56169,0.59791,0.28649,1.88046,1.43291,1.56335,0.000127467,0.000127467,0.000127467
94,2676.69,1.18212,0.77734,1.09899,0.61883,0.58439,0.60295,0.2861,1.88433,1.44424,1.5755,0.00011332,0.00011332,0.00011332
95,2704.11,1.17176,0.78049,1.09889,0.66135,0.56194,0.6013,0.28795,1.87016,1.43691,1.55701,9.91726e-05,9.91726e-05,9.91726e-05
96,2731.72,1.16498,0.76359,1.10048,0.64046,0.57768,0.60017,0.28592,1.8699,1.4495,1.55844,8.50255e-05,8.50255e-05,8.50255e-05
97,2759.52,1.16244,0.74563,1.09384,0.66288,0.56749,0.60628,0.28908,1.87452,1.42373,1.56526,7.08784e-05,7.08784e-05,7.08784e-05
98,2787.11,1.1486,0.7425,1.09023,0.62652,0.59112,0.60393,0.28723,1.88334,1.43353,1.5744,5.67313e-05,5.67313e-05,5.67313e-05
99,2814.39,1.15897,0.7424,1.08638,0.64719,0.5704,0.60259,0.29049,1.87879,1.44456,1.562,4.25842e-05,4.25842e-05,4.25842e-05
100,2841.58,1.13852,0.73364,1.07848,0.65271,0.56522,0.60124,0.2903,1.8828,1.43761,1.56957,2.84371e-05,2.84371e-05,2.84371e-05
